Season,Club,First Name,Last Name,Position,Total Compensation,Base Salary
2011,Houston Dynamo,Brian,Ching,F,"$412,500.00","$375,000.00"
2011,Colorado Rapids,Conor,Casey,F,"$400,000.00","$400,000.00"
2011,Philadelphia Union,Faryd,Mondragon,GK,"$396,667.00","$230,000.00"
2011,Seattle Sounders FC,Alvaro,Fernandez,M,"$366,667.00","$300,000.00"
2011,Vancouver Whitecaps,Jay,Demerit,D,"$350,000.00","$300,000.00"
2011,New England Revolution,Benny,Feilhaber,M,"$346,000.00","$300,000.00"
2011,San Jose Earthquakes,Bobby,Convey,M,"$336,000.00","$313,500.00"
2011,Columbus Crew SC,Chad,Marshall,D,"$320,000.00","$250,000.00"
2011,Real Salt Lake,Alvaro,Saborio,F,"$305,625.00","$250,000.00"
2011,Chicago Fire FC,Cristian,Nazarit,F,"$302,500.00","$240,000.00"
2011,Colorado Rapids,Marvell,Wynne,D,"$301,667.00","$225,000.00"
2011,Portland Timbers,Troy,Perkins,GK,"$280,000.00","$250,000.00"
2011,Vancouver Whitecaps,Davide,Chiumiento,M/F,"$280,000.00","$280,000.00"
2011,Houston Dynamo,Brad,Davis,M,"$278,063.00","$235,000.00"
2011,New England Revolution,Radivoje,Lekic,F,"$275,004.00","$275,004.00"
2011,Portland Timbers,Kenny,Cooper,F,"$267,500.00","$250,000.00"
2011,Sporting Kansas City,Davy,Arnaud,M,"$258,750.00","$250,000.00"
2011,Chivas USA,Heath,Pearce,D,"$257,325.00","$247,825.00"
2011,Philadelphia Union,Danny,Califf,D,"$250,000.00","$250,000.00"
2011,Seattle Sounders FC,Kasey,Keller,GK,"$250,000.00","$250,000.00"
2011,Colorado Rapids,Pablo,Mastroeni,M-D,"$245,000.00","$240,000.00"
2011,Houston Dynamo,Geoff,Cameron,M,"$245,000.00","$220,000.00"
2011,DC United,Charlie,Davies,F,"$244,870.00","$184,620.00"
2011,Sporting Kansas City,Jimmy,Nielsen,GK,"$241,667.00","$200,000.00"
2011,Real Salt Lake,Kyle,Beckerman,M,"$231,246.00","$219,996.00"
2011,Chivas USA,Paulo,Nagamura,M,"$230,500.00","$225,000.00"
2011,Philadelphia Union,Danny,Mwanga,F,"$226,250.00","$120,000.00"
2011,New England Revolution,Monsef,Zerka,M-F,"$226,000.00","$216,000.00"
2011,LA Galaxy,Chad,Barrett,F,"$225,333.00","$192,000.00"
2011,Real Salt Lake,Will,Johnson,F,"$225,000.00","$225,000.00"
2011,Columbus Crew SC,Dilaver,Duka,M,"$223,000.00","$90,000.00"
2011,Columbus Crew SC,Emmanuel,Ekpo,M,"$222,250.00","$200,000.00"
2011,Sporting Kansas City,Julio,Cesar,D,"$213,750.00","$210,000.00"
2011,Houston Dynamo,Bobby,Boswell,D,"$210,000.00","$210,000.00"
2011,Vancouver Whitecaps,Joe,Cannon,GK,"$209,756.00","$199,500.00"
2011,Columbus Crew SC,Eddie,Gaven,M-F,"$209,633.00","$209,633.00"
2011,Vancouver Whitecaps,John,Thorrington,M,"$207,200.00","$194,700.00"
2011,Chivas USA,Laurent,Courtois,M,"$206,000.00","$60,000.00"
2011,Colorado Rapids,Caleb,Folan,F,"$203,375.00","$200,000.00"
2011,Sporting Kansas City,Kei,Kamara,F,"$202,500.00","$200,000.00"
2011,Real Salt Lake,Arturo,Alvarez,M-F,"$201,923.00","$192,585.00"
2011,DC United,Dejan,Jakovic,D,"$201,643.00","$181,600.00"
2011,Portland Timbers,Darlington,Nagbe,M/F,"$201,000.00","$65,000.00"
2011,Chicago Fire FC,Marko,Maric,M,"$200,000.00","$150,000.00"
2011,Colorado Rapids,Brian,Mullan,M,"$199,313.00","$190,000.00"
2011,LA Galaxy,Omar,Gonzalez,D,"$197,000.00","$120,000.00"
2011,LA Galaxy,Donovan,Ricketts,GK,"$195,000.00","$170,000.00"
2011,Columbus Crew SC,Tony,Tchani,M,"$194,000.00","$90,000.00"
2011,Philadelphia Union,Juan Diego,Gonzalez,D,"$193,463.00","$189,000.00"
2011,Sporting Kansas City,Aurelien,Collin,D,"$191,254.00","$185,004.00"
2011,New England Revolution,Matt,Reis,GK,"$191,112.00","$187,312.00"
2011,Chicago Fire FC,Patrick,Nyarko,F,"$190,000.00","$110,000.00"
2011,Seattle Sounders FC,Steve,Zakuani,F,"$188,000.00","$90,000.00"
2011,San Jose Earthquakes,Ike,Opara,D,"$185,900.00","$100,000.00"
2011,Real Salt Lake,Luis,Gil,M,"$185,333.00","$90,250.00"
2011,Chicago Fire FC,Logan,Pause,M,"$184,125.00","$176,000.00"
2011,Philadelphia Union,Justin,Mapp,M,"$183,333.00","$175,000.00"
2011,Sporting Kansas City,Teal,Bunbury,F,"$183,000.00","$85,000.00"
2011,Chivas USA,Alejandro,Moreno,F,"$182,000.00","$172,000.00"
2011,New York Red Bulls,Luke,Rodgers,F,"$180,000.00","$180,000.00"
2011,New York Red Bulls,Jan Gunnar,Solli,M,"$180,000.00","$180,000.00"
2011,Philadelphia Union,Carlos,Valdes,D,"$180,000.00","$180,000.00"
2011,New York Red Bulls,Bouna,Coundoul,GK,"$179,500.00","$178,250.00"
2011,DC United,Clyde,Simms,M,"$179,250.00","$173,250.00"
2011,Philadelphia Union,Sebastian,Le Toux,M,"$179,000.00","$155,000.00"
2011,San Jose Earthquakes,Khari,Stephenson,M,"$178,333.00","$165,000.00"
2011,Houston Dynamo,Luiz,Camargo,M,"$178,000.00","$168,000.00"
2011,Colorado Rapids,Drew,Moor,D,"$176,909.00","$159,720.00"
2011,San Jose Earthquakes,Ramiro,Corrales,M,"$175,625.00","$165,000.00"
2011,FC Dallas,Kevin,Hartman,GK,"$175,000.00","$155,000.00"
2011,New York Red Bulls,Dax,McCarty,M,"$175,000.00","$155,000.00"
2011,San Jose Earthquakes,Chris,Wondolowski,M,"$175,000.00","$175,000.00"
2011,Real Salt Lake,Jamison,Olave,D,"$174,992.00","$124,992.00"
2011,Sporting Kansas City,Shavar,Thomas,D,"$174,375.00","$160,000.00"
2011,FC Dallas,Daniel,Hernandez,M-D,"$172,500.00","$160,000.00"
2011,FC Dallas,Jair,Benitez,D,"$171,250.00","$150,000.00"
2011,Columbus Crew SC,Dejan,Rusmir,M,"$170,496.00","$159,996.00"
2011,FC Dallas,Ugo,Ihemelu,D,"$170,000.00","$170,000.00"
2011,Sporting Kansas City,Omar,Bravo,F,"$170,000.00","$120,000.00"
2011,Real Salt Lake,Nat,Borchers,D,"$169,059.00","$159,996.00"
2011,Philadelphia Union,Amobi,Okugo,M,"$168,000.00","$85,000.00"
2011,Chicago Fire FC,Gonzalo,Segares,D,"$167,750.00","$160,000.00"
2011,Colorado Rapids,Jeff,Larentowicz,D,"$165,000.00","$165,000.00"
2011,New York Red Bulls,Teemu,Tainio,M,"$164,996.00","$159,996.00"
2011,Columbus Crew SC,William,Hesmer,GK,"$163,500.00","$152,500.00"
2011,Chivas USA,Zach,Thornton,GK,"$162,500.00","$155,000.00"
2011,Houston Dynamo,Hunter,Freeman,D,"$160,833.00","$150,000.00"
2011,DC United,Josh,Wolff,F,"$160,000.00","$160,000.00"
2011,Philadelphia Union,Brian,Carroll,M,"$160,000.00","$160,000.00"
2011,Chicago Fire FC,Pavel,Pardo,M,"$159,996.00","$129,996.00"
2011,Real Salt Lake,Nick,Rimando,GK,"$158,250.00","$150,000.00"
2011,Portland Timbers,Jack,Jewsbury,D,"$158,167.00","$155,000.00"
2011,Colorado Rapids,Matt,Pickens,GK,"$157,750.00","$155,250.00"
2011,LA Galaxy,Chris,Birchall,M,"$157,125.00","$144,000.00"
2011,San Jose Earthquakes,Scott,Sealy,F,"$157,000.00","$150,000.00"
2011,New York Red Bulls,Dane,Richards,M-F,"$156,500.00","$145,000.00"
2011,DC United,Joseph,Ngwenya,M/F,"$156,000.00","$156,000.00"
2011,DC United,Andy,Najar,M-F,"$155,800.00","$125,000.00"
2011,Toronto FC,Stefan,Frei,GK,"$155,000.00","$100,000.00"
2011,Philadelphia Union,Stefani,Miglioranzi,M,"$153,125.00","$130,000.00"
2011,Columbus Crew SC,Jeffrey,Cunningham,F,"$152,500.00","$140,000.00"
2011,San Jose Earthquakes,Jon,Busch,GK,"$151,800.00","$145,000.00"
2011,Chicago Fire FC,Corben,Bone,M,"$151,200.00","$90,000.00"
2011,San Jose Earthquakes,Jacob,Peterson,F,"$150,775.00","$142,500.00"
2011,Chicago Fire FC,Cory,Gibbs,D,"$150,000.00","$150,000.00"
2011,FC Dallas,Ricardo,Villar,M,"$150,000.00","$150,000.00"
2011,San Jose Earthquakes,Jason,Hernandez,D,"$150,000.00","$150,000.00"
2011,Vancouver Whitecaps,Mouloud,Akloul,D,"$150,000.00","$150,000.00"
2011,Vancouver Whitecaps,Alain,Rochat,D,"$150,000.00","$150,000.00"
2011,New England Revolution,Kevin,Alston,D,"$149,000.00","$100,000.00"
2011,DC United,Perry,Kitchen,D,"$148,200.00","$62,750.00"
2011,Houston Dynamo,Andrew,Hainault,D,"$148,125.00","$135,000.00"
2011,Colorado Rapids,Macoumba,Kandji,F,"$147,988.00","$120,000.00"
2011,Colorado Rapids,Jamie,Smith,M,"$146,992.00","$136,992.00"
2011,Chivas USA,Michael,Umana,D,"$145,500.00","$138,000.00"
2011,Sporting Kansas City,Ryan,Smith,M-F,"$144,375.00","$140,000.00"
2011,Portland Timbers,Diego,Chara,M,"$143,758.00","$100,008.00"
2011,LA Galaxy,Todd,Dunivant,D,"$141,750.00","$135,000.00"
2011,Seattle Sounders FC,Nate,Jaqua,F,"$140,004.00","$140,004.00"
2011,Columbus Crew SC,Robbie,Rogers,M-F,"$140,000.00","$140,000.00"
2011,Seattle Sounders FC,Osvaldo,Alonso,M,"$140,000.00","$140,000.00"
2011,Portland Timbers,Rodney,Wallace,M-D,"$139,000.00","$90,000.00"
2011,Sporting Kansas City,Michael,Harrington,M-D,"$136,833.00","$110,000.00"
2011,Seattle Sounders FC,Jeff,Parke,D,"$136,500.00","$136,500.00"
