Club,Year,Total Salary,Average,Highest,Lowest
Montreal Impact,2019,12263421.0,533192.2173913043,4443333.0,56250.0
New England Revolution,2010,2489522.0,131027.47368421052,475000.0,40000.0
New England Revolution,2011,2236271.0,106489.09523809524,500000.0,32604.0
New England Revolution,2012,1935198.0,107511.0,446000.0,33756.0
New England Revolution,2013,2650127.0,110421.95833333333,295000.0,35125.0
New England Revolution,2014,6279406.0,261641.91666666666,3252500.0,36500.0
New England Revolution,2015,5743460.0,273498.09523809527,3052500.0,50000.0
New England Revolution,2016,4962213.0,248110.65,1000000.0,51500.0
New England Revolution,2017,7210607.0,327754.86363636365,909861.0,54075.0
New England Revolution,2018,6571272.0,298694.1818181818,1007667.0,54500.0
New England Revolution,2019,9505508.0,452643.2380952381,2337500.0,56250.0
New York City FC,2015,17141355.0,714223.125,6000000.0,50000.0
New York City FC,2016,20531858.0,977707.5238095238,6000000.0,51500.0
New York City FC,2017,16403130.0,683463.75,5915690.0,53000.0
New York City FC,2018,11338709.0,566935.45,5610000.0,55654.0
New York City FC,2019,6957111.0,331291.0,945000.0,56250.0
New York Red Bulls,2010,9573764.0,416250.60869565216,5600000.0,40000.0
New York Red Bulls,2011,7651479.0,364356.14285714284,5600000.0,32604.0
New York Red Bulls,2012,11681604.0,556266.8571428572,5600000.0,33750.0
New York Red Bulls,2013,10381457.0,432560.7083333333,4350000.0,35125.0
New York Red Bulls,2014,10635645.0,483438.4090909091,4350000.0,36500.0
New York Red Bulls,2015,3470741.0,157760.95454545456,660000.0,50000.0
New York Red Bulls,2016,5074209.0,220617.78260869565,715000.0,51500.0
New York Red Bulls,2017,5469918.0,273495.9,1635000.0,53004.0
New York Red Bulls,2018,5956956.0,297847.8,1635000.0,54500.0
New York Red Bulls,2019,6939180.0,301703.47826086957,1380000.0,56250.0
Orlando City SC,2015,3454504.0,138180.16,525000.0,50000.0
Orlando City SC,2016,3217268.0,146239.45454545456,650000.0,62496.0
Orlando City SC,2017,6077839.0,276265.4090909091,850000.0,53004.0
Orlando City SC,2018,7612276.0,362489.3333333333,1383333.0,54504.0
Orlando City SC,2019,8749039.0,437451.95,1503333.0,56250.0
Philadelphia Union,2010,1567925.0,111994.64285714286,206250.0,40000.0
Philadelphia Union,2011,2495852.0,131360.63157894736,594884.0,32604.0
Philadelphia Union,2012,2273458.0,119655.68421052632,519000.0,33750.0
Philadelphia Union,2013,2601830.0,118265.0,495000.0,35125.0
Philadelphia Union,2014,3002885.0,150144.25,650000.0,36504.0
Philadelphia Union,2015,4066904.0,203345.2,768750.0,50000.0
Philadelphia Union,2016,5204079.0,236549.04545454544,1166254.0,51500.0
